id,file_id,name,tea_type,location_type,biome,latitude,longitude,start_weight_green,end_weight_green,start_weight_red,end_weight_red,weight_include,k,S,t,date_in,origin,source,comment,created_at
104,,Ramat Hanadiv Park,2,1,12,32.5555,34.9396,,0,,0,0,0.015382028,0.338868855,99,12/27/17,0,,Mediterranean woodland,10/12/23 9:43
105,,Hanaton,2,1,12,32.7836,35.2536,,0,,0,0,0.014462987,0.349699225,96,12/27/17,0,,Mediterranean woodland,10/12/23 9:43
106,,Location 17 (Oconee National Forest Site1. Georgia),2,1,4,33.1167,-83.4826,,0,,0,0,0.009672745,0.229327601,66,5/15/17,0,,Temperate forests,10/12/23 9:43
107,,Location 14 (Savannah River Site3. South Carolina),2,1,5,33.1322,-81.6553,,0,,0,0,0.010369447,0.250329674,96,5/11/17,0,,Temperate coniferous forests,10/12/23 9:43
108,,Location 15 (Savannah River Site4. South Carolina),2,1,5,33.1403,-81.6774,,0,,0,0,0.019340766,0.327272702,96,5/11/17,0,,Temperate coniferous forests,10/12/23 9:43
109,,Location 16 (Savannah River Site5. South Carolina),2,1,5,33.1511,-81.6802,,0,,0,0,0.02458349,0.328229932,96,5/11/17,0,,Temperate coniferous forests,10/12/23 9:43
110,,Location 13 (Savannah River Site2. South Carolina),2,1,5,33.2601,-81.7144,,0,,0,0,0.010157424,0.225874737,96,5/11/17,0,,Temperate coniferous forests,10/12/23 9:43
111,,Location 12 (Savannah River Site1. South Carolina),2,1,5,33.3055,-81.7036,,0,,0,0,0.015522344,0.229293414,96,5/11/17,0,,Temperate coniferous forests,10/12/23 9:43
112,,Location 2 (North Augusta. South Carolina),2,1,4,33.4851,-81.9798,,0,,0,0,0.011562831,0.221795115,91,4/27/17,0,,Temperate forests,10/12/23 9:43
113,,Location 1 (North Augusta. South Carolina),2,1,4,33.4911,-81.9824,,0,,0,0,0.010299539,0.222820719,91,4/27/17,0,,Temperate forests,10/12/23 9:43
114,,Location 3 (Near Clarke Hill Lake. Georgia),2,1,4,33.6088,-82.5202,,0,,0,0,0.010150912,0.219151338,91,4/27/17,0,,Temperate forests,10/12/23 9:43
115,,Location 26 (Oconee National Forest Site3. Georgia),2,1,4,33.6812,-83.2883,,0,,0,0,0.018842001,0.238409887,90,5/19/17,0,,Temperate forests,10/12/23 9:43
116,,Location 25 (Oconee National Forest Site2. Georgia),2,1,4,33.6942,-83.2852,,0,,0,0,0.019690629,0.225464496,90,5/19/17,0,,Temperate forests,10/12/23 9:43
117,,Location 29 (Whitehall forest site3. Georgia),2,1,4,33.8846,-83.3578,,0,,0,0,0.016145875,0.190935856,90,5/19/17,0,,Temperate forests,10/12/23 9:43
118,,Location 28 (Whitehall forest site2. Georgia),2,1,4,33.8854,-83.3561,,0,,0,0,0.015180275,0.244244429,90,5/19/17,0,,Temperate forests,10/12/23 9:43
119,,Location 27 (Whitehall forest site1. Georgia),2,1,4,33.8919,-83.365,,0,,0,0,0.018736494,0.25602747,90,5/19/17,0,,Temperate forests,10/12/23 9:43
120,,Location 30 (Georgia State Botanical Gardens. Georgia),2,1,4,33.9009,-83.3878,,0,,0,0,0.017067037,0.305962948,90,5/19/17,0,,Temperate forests,10/12/23 9:43
121,,Location 31 (USFS property. Georgia),2,1,4,33.9424,-83.3745,,0,,0,0,0,0.274693447,90,5/19/17,0,,Temperate forests,10/12/23 9:43
122,,Location 10 (Lake Russell 1. Georgia),2,1,4,34.4938,-83.4953,,0,,0,0,0.011748225,0.236221933,88,5/5/17,0,,Temperate forests,10/12/23 9:43
123,,Location 11 (Lake Russell 2. Georgia),2,1,4,34.5128,-83.4966,,0,,0,0,0.011817549,0.311820282,88,5/5/17,0,,Temperate forests,10/12/23 9:43
124,,Location 9 (Panther creek. Georgia),2,1,4,34.6998,-83.4207,,0,,0,0,0.011529867,0.256506085,88,5/5/17,0,,Temperate forests,10/12/23 9:43
125,,Location 4 (Tallulah Falls. Georgia),2,1,4,34.7525,-83.3955,,0,,0,0,0.012071644,0.289222825,88,5/5/17,0,,Temperate forests,10/12/23 9:43
126,,Location 7 (Warwoman WMA 1. Georgia),2,1,4,34.8916,-83.3464,,0,,0,0,0.012133093,0.27494415,88,5/5/17,0,,Temperate forests,10/12/23 9:43
127,,Location 8 (Warwoman WMA 2. Georgia),2,1,4,34.8995,-83.3457,,0,,0,0,0.00933736,0.28207779,88,5/5/17,0,,Temperate forests,10/12/23 9:43
128,,Location 6 (Coweeta 2. North Carolina),2,1,4,35.0393,-83.4591,,0,,0,0,0.010387099,0.269451476,88,5/5/17,0,,Temperate forests,10/12/23 9:43
129,,Location 5 (Coweeta 1. North Carolina),2,1,4,35.0414,-83.4663,,0,,0,0,0.010819093,0.259753828,88,5/5/17,0,,Temperate forests,10/12/23 9:43
130,,IT_TDA,2,1,12,36.939,14.981,,0,,0,0,0.010421836,0.292914997,94,6/6/17,0,,Mediterranean woodland,10/12/23 9:43
131,,Dilar,2,1,12,37.0659,-3.5698,,0,,0,0,0,0.248574753,97,2/20/17,0,,Mediterranean woodland,10/12/23 9:43
132,,Genil,2,1,12,37.1625,-3.5145,,0,,0,0,0,0.292675689,97,2/20/17,0,,Mediterranean woodland,10/12/23 9:43
133,,Tinto,2,1,12,37.3652,-6.6743,,0,,0,0,0,0.623774575,98,1/28/17,0,,Mediterranean woodland,10/12/23 9:43
